Comment,Stakeholder,sentiment_scores,compound_score,sentiment,summary
This amendment will simplify the compliance process for startups,Business Owner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This amendment will simplify the compliance process for startups
The draft introduces unnecessary paperwork and delays,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The draft introduces unnecessary paperwork and delays
"Good initiative, it promotes digital governance",Student,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.6486}",0.6486,Positive,"Good initiative, it promotes digital governance"
The rules are too complex for small businesses to follow,Citizen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Summary not available.
The draft is clear and well-written,Auditor,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,Positive,The draft is clear and well-written
Ambiguity in definitions may create legal loopholes,Business Owner,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.3818}",0.3818,Positive,Ambiguity in definitions may create legal loopholes
The proposed change is a welcome step towards transparency,Lawyer,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}",0.4588,Positive,The proposed change is a welcome step towards transparency
This amendment increases costs for companies,Student,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This amendment increases costs for companies
"Neutral impact, as it doesn’t affect existing processes much",Citizen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,"Neutral impact, as it doesn’t affect existing processes much"
The draft should include provisions for rural entrepreneurs,Auditor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The draft should include provisions for rural entrepreneurs
Strongly supports digitization of filings,Business Owner,"{'neg': 0.0, 'neu': 0.395, 'pos': 0.605, 'compound': 0.5574}",0.5574,Positive,Strongly supports digitization of filings
This law is impractical for ground-level implementation,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This law is impractical for ground-level implementation
"Good for foreign investors, but hard for local SMEs",Student,"{'neg': 0.152, 'neu': 0.664, 'pos': 0.185, 'compound': 0.09}",0.09,Positive,"Good for foreign investors, but hard for local SMEs"
Encourages accountability and fair practices,Citizen,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.6369}",0.6369,Positive,Encourages accountability and fair practices
Needs more clarity on penalties section,Auditor,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.4576}",0.4576,Positive,Needs more clarity on penalties section
Draft is very user-friendly,Business Owner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Draft is very user-friendly
The amendment should reduce compliance fees,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The amendment should reduce compliance fees
This creates confusion with overlapping regulations,Student,"{'neg': 0.265, 'neu': 0.482, 'pos': 0.253, 'compound': -0.0258}",-0.0258,Neutral,This creates confusion with overlapping regulations
Appreciate the effort towards modernization,Citizen,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,Positive,Appreciate the effort towards modernization
Does not address key issues faced by small traders,Auditor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Does not address key issues faced by small traders
Positive move towards aligning with global standards,Business Owner,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5574}",0.5574,Positive,Positive move towards aligning with global standards
The timeline for implementation is too short,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The timeline for implementation is too short
